date,bitcoin_unscaled,bitcoin_monthly,isPartial,scale,bitcoin
2017-01-01,52,7.0,False,0.07,3.6400000000000006
2017-01-02,81,7.0,,0.07,5.670000000000001
2017-01-03,66,7.0,,0.07,4.62
2017-01-04,87,7.0,,0.07,6.090000000000001
2017-01-05,100,7.0,,0.07,7.000000000000001
2017-01-06,83,7.0,,0.07,5.8100000000000005
2017-01-07,74,7.0,,0.07,5.180000000000001
2017-01-08,65,5.0,False,0.05,3.25
2017-01-09,61,5.0,,0.05,3.0500000000000003
2017-01-10,58,5.0,,0.05,2.9000000000000004
2017-01-11,63,5.0,,0.05,3.1500000000000004
2017-01-12,64,5.0,,0.05,3.2
2017-01-13,60,5.0,,0.05,3.0
2017-01-14,46,5.0,,0.05,2.3000000000000003
2017-01-15,46,4.0,False,0.04,1.84
2017-01-16,49,4.0,,0.04,1.96
2017-01-17,52,4.0,,0.04,2.08
2017-01-18,48,4.0,,0.04,1.92
2017-01-19,45,4.0,,0.04,1.8
2017-01-20,43,4.0,,0.04,1.72
2017-01-21,41,4.0,,0.04,1.6400000000000001
2017-01-22,45,4.0,False,0.04,1.8
2017-01-23,45,4.0,,0.04,1.8
2017-01-24,44,4.0,,0.04,1.76
2017-01-25,43,4.0,,0.04,1.72
2017-01-26,49,4.0,,0.04,1.96
2017-01-27,43,4.0,,0.04,1.72
2017-01-28,43,4.0,,0.04,1.72
2017-01-29,44,4.0,False,0.04,1.76
2017-01-30,43,4.0,,0.04,1.72
2017-01-31,44,4.0,,0.04,1.76
2017-02-01,69,4.0,,0.04,2.7600000000000002
2017-02-02,73,4.0,,0.04,2.92
2017-02-03,71,4.0,,0.04,2.84
2017-02-04,68,4.0,,0.04,2.72
2017-02-05,65,5.0,False,0.05,3.25
2017-02-06,68,5.0,,0.05,3.4000000000000004
2017-02-07,80,5.0,,0.05,4.0
2017-02-08,70,5.0,,0.05,3.5
2017-02-09,85,5.0,,0.05,4.25
2017-02-10,72,5.0,,0.05,3.6
2017-02-11,67,5.0,,0.05,3.35
2017-02-12,63,4.0,False,0.04,2.52
2017-02-13,64,4.0,,0.04,2.56
2017-02-14,62,4.0,,0.04,2.48
2017-02-15,68,4.0,,0.04,2.72
2017-02-16,70,4.0,,0.04,2.8000000000000003
2017-02-17,69,4.0,,0.04,2.7600000000000002
2017-02-18,70,4.0,,0.04,2.8000000000000003
2017-02-19,64,5.0,False,0.05,3.2
2017-02-20,68,5.0,,0.05,3.4000000000000004
2017-02-21,79,5.0,,0.05,3.95
2017-02-22,74,5.0,,0.05,3.7
2017-02-23,91,5.0,,0.05,4.55
2017-02-24,100,5.0,,0.05,5.0
2017-02-25,87,5.0,,0.05,4.3500000000000005
2017-02-26,77,6.0,False,0.06,4.62
2017-02-27,86,6.0,,0.06,5.16
2017-02-28,76,6.0,,0.06,4.56
2017-03-01,58,6.0,,0.06,3.48
2017-03-02,73,6.0,,0.06,4.38
2017-03-03,93,6.0,,0.06,5.58
2017-03-04,75,6.0,,0.06,4.5
2017-03-05,59,7.0,False,0.07,4.130000000000001
2017-03-06,64,7.0,,0.07,4.48
2017-03-07,69,7.0,,0.07,4.83
2017-03-08,75,7.0,,0.07,5.250000000000001
2017-03-09,73,7.0,,0.07,5.11
2017-03-10,100,7.0,,0.07,7.000000000000001
2017-03-11,73,7.0,,0.07,5.11
2017-03-12,55,5.0,False,0.05,2.75
2017-03-13,63,5.0,,0.05,3.1500000000000004
2017-03-14,57,5.0,,0.05,2.85
2017-03-15,60,5.0,,0.05,3.0
2017-03-16,59,5.0,,0.05,2.95
2017-03-17,66,5.0,,0.05,3.3000000000000003
2017-03-18,70,5.0,,0.05,3.5
2017-03-19,67,5.0,False,0.05,3.35
2017-03-20,64,5.0,,0.05,3.2
